WCVP_id;accepted_binomial;authority;EUNIS_name;original_name;family;order;APG_clade
2636500;Anchusa crispa;Viv.;Anchusa crispa;Anchusa crispa;Boraginaceae;Boraginales;asterids
2784282;Echium plantagineum;L.;Echium plantagineum;Echium plantagineum;Boraginaceae;Boraginales;asterids
2624738;Aethionema saxatile;(L.) W.T.Aiton;Aethionema saxatile;Aethionema saxatile;Brassicaceae;Brassicales;rosids
2682595;Brassica barrelieri;(L.) Janka;Brassica oxyrrhina;Brassica barrelieri;Brassicaceae;Brassicales;rosids
2690424;Cakile maritima;Scop.;Cakile maritima;Cakile maritima;Brassicaceae;Brassicales;rosids
2867046;Isatis tinctoria;L.;Isatis tinctoria;Isatis tinctoria;Brassicaceae;Brassicales;rosids
2357964;Matthiola sinuata;(L.) W.T.Aiton;Matthiola sinuata;Matthiola sinuata;Brassicaceae;Brassicales;rosids
2422367;Raphanus raphanistrum;L.;Raphanus raphanistrum;Raphanus raphanistrum;Brassicaceae;Brassicales;rosids
2437869;Teesdalia conferta;(Lag.) O.Appel;Teesdalia conferta;Teesdaliopsis conferta;Brassicaceae;Brassicales;rosids
2649479;Arenaria grandiflora;L.;Arenaria grandiflora;Arenaria grandiflora;Caryophyllaceae;Caryophyllales;Caryophyllales
2652301;Armeria alpina;(DC.) Willd.;Armeria canescens;Armeria alpina;Plumbaginaceae;Caryophyllales;Caryophyllales
2652293;Armeria caespitosa;(Ortega) Boiss.;Armeria caespitosa;Armeria caespitosa;Plumbaginaceae;Caryophyllales;Caryophyllales
2652651;Armeria maritima;(Mill.) Willd.;Armeria multiceps;Armeria maritima;Plumbaginaceae;Caryophyllales;Caryophyllales
3014186;Arthrocaulon macrostachyum;(Moric.) Piirainen & G.Kadereit;Arthrocnemum macrostachyum;Arthrocnemum macrostachyum;Amaranthaceae;Caryophyllales;Caryophyllales
2665336;Atriplex halimus;L.;Atriplex halimus;Atriplex halimus;Amaranthaceae;Caryophyllales;Caryophyllales
2709949;Cerastium arvense;L.;Cerastium arvense;Cerastium arvense;Caryophyllaceae;Caryophyllales;Caryophyllales
2765016;Dianthus sylvestris;Wulfen;Dianthus sylvestris;Dianthus sylvestris;Caryophyllaceae;Caryophyllales;Caryophyllales
2836902;Gypsophila struthium;Loefl.;Gypsophila struthium;Gypsophila struthium;Caryophyllaceae;Caryophyllales;Caryophyllales
2369751;Minuartia recurva;(All.) Schinz & Thell.;Minuartia recurva;Minuartia recurva;Caryophyllaceae;Caryophyllales;Caryophyllales
2574902;Polygonum maritimum;L.;Polygonum maritimum;Polygonum maritimum;Polygonaceae;Caryophyllales;Caryophyllales
2424294;Rumex crispus;L.;Rumex crispus;Rumex crispus;Polygonaceae;Caryophyllales;Caryophyllales
2418233;Rumex suffruticosus;J.Gay ex Meisn.;Rumex suffruticosus;Rumex suffruticosus;Polygonaceae;Caryophyllales;Caryophyllales
2481347;Salsola kali;L.;Salsola kali;Salsola kali;Amaranthaceae;Caryophyllales;Caryophyllales
2481347;Salsola tragus;L.;Salsola kali;Salsola tragus;Amaranthaceae;Caryophyllales;Caryophyllales
2487840;Silene behen;L.;Silene vulgaris;Silene behen;Caryophyllaceae;Caryophyllales;Caryophyllales
2485520;Silene ciliata;Pourr.;Silene ciliata;Silene ciliata;Caryophyllaceae;Caryophyllales;Caryophyllales
2485538;Silene colorata;Poir.;Silene colorata;Silene canescens;Caryophyllaceae;Caryophyllales;Caryophyllales
2488633;Silene nutans;L.;Silene nutans;Silene nutans;Caryophyllaceae;Caryophyllales;Caryophyllales
2487840;Silene vulgaris;(Moench) Garcke;Silene vulgaris;Silene vulgaris;Caryophyllaceae;Caryophyllales;Caryophyllales
2559858;Parnassia palustris;L.;Parnassia palustris;Parnassia palustris;Celastraceae;Celastrales;rosids
2646651;Arbutus andrachne;L.;Arbutus andrachne;Arbutus andrachne;Ericaceae;Ericales;asterids
2646748;Arbutus unedo;L.;Arbutus unedo;Arbutus unedo;Ericaceae;Ericales;asterids
2692970;Calluna vulgaris;(L.) Hull;Calluna vulgaris;Calluna vulgaris;Ericaceae;Ericales;asterids
2737610;Coris monspeliensis;L.;Coris monspeliensis;Coris monspeliensis;Primulaceae;Ericales;asterids
2792636;Erica arborea;L.;Erica arborea;Erica arborea;Ericaceae;Ericales;asterids
2793771;Erica cinerea;L.;Erica maderensis;Erica cinerea;Ericaceae;Ericales;asterids
2793873;Erica multiflora;L.;Erica multiflora;Erica multiflora;Ericaceae;Ericales;asterids
2793873;Erica vagans;L.;Erica multiflora;Erica vagans;Ericaceae;Ericales;asterids
